	sentence	speaker	dialog_id	subset	uttr_id	sent_id	speaker_continue	opinion	statement	pos_answer	neg_answer	command	comment	other_answers	open_question_factual	yes_no_question	complaint	open_question_opinion	appreciation	dev_command
10	I don't feel like sitting at home.	OOOOO	0	train	4	2	1	0.9389193654060364	0.0349852703511714	0.0009541391045786	0.0022476820740848	0.001790996058844	0.0054152328521013	0.0055685895495116	0.0025093317963182	0.0011651499662548	0.0026754566933959	0.0013791574165225	0.0011991742067039	0.0011903358390554
11	I suggest a walk over to the gym where we can play singsong and meet some of our friends.	XXXXX	0	train	5	0	0	0.4477529227733612	0.3207221031188965	0.004091840237379	0.0020598419941961	0.1659937053918838	0.0051650167442858	0.0016825646162033	0.0089127179235219	0.0071409260854125	0.0044214492663741	0.0065278951078653	0.0050519797950983	0.0204770676791667
12	That's a good idea.	OOOOO	0	train	6	0	0	0.0480996891856193	0.0074987197294831	0.0171662047505378	0.0024710062425583	0.0086271306499838	0.3788371086120605	0.0040579447522759	0.0050146388821303	0.0077466699294745	0.0098006762564182	0.0093984091654419	0.4867672622203827	0.0145144388079643
13	I hear Mary and Sally often go there to play pingpong.	OOOOO	0	train	6	1	1	0.1459512859582901	0.8329989314079285	0.0021100479643791	0.0007720973808318	0.0056547871790826	0.0027468535117805	0.0011021473910659	0.0013808326330035	0.0015972517430782	0.0015619562473148	0.0010700782295316	0.0012140426551923	0.0018397385720163
14	Perhaps we can make a foursome with them.	OOOOO	0	train	6	2	1	0.7696731090545654	0.0340230576694011	0.0085215559229254	0.003856350434944	0.1093112677335739	0.0054075643420219	0.001956031890586	0.0150623945519328	0.01535255741328	0.0026982428971678	0.0155823612585663	0.0048300283960998	0.0137254213914275
15	Sounds great to me!	XXXXX	0	train	7	0	0	0.4548486471176147	0.0140879424288868	0.0226747281849384	0.0045325425453484	0.0244419127702713	0.2433500587940216	0.003379572648555	0.0065380777232348	0.0071363127790391	0.0081040309742093	0.0118005024269223	0.1819139122962951	0.0171917732805013
16	If they are willing, we could ask them to go dancing with us.	XXXXX	0	train	7	1	1	0.7944453954696655	0.0880270525813102	0.0060650841332972	0.003302871948108	0.0643014386296272	0.0032345233485102	0.0018829680047929	0.0096136881038546	0.0078771291300654	0.002352719195187	0.0074250502511858	0.0029162308201193	0.0085558518767356
17	That is excellent exercise and fun, too.	XXXXX	0	train	7	2	1	0.5760436654090881	0.0150208808481693	0.019719848409295	0.0079282401129603	0.0117273805662989	0.2652797996997833	0.002932071685791	0.0077621219679713	0.008550495840609	0.0106330066919326	0.0053770900703966	0.0596349611878395	0.0093903904780745
18	Good.	OOOOO	0	train	8	0	0	0.1338455528020858	0.0173998605459928	0.030017614364624	0.0025504746008664	0.0065833996050059	0.5413312315940857	0.0049769827164709	0.0038842631038278	0.006106880493462	0.0062020616605877	0.0047076875343918	0.2327307909727096	0.0096632298082113
19	Let' s go now.	OOOOO	0	train	8	1	1	0.0030519724823534	0.0119157787412405	0.0040791695937514	0.002127471147105	0.8419128060340881	0.0031479340977966	0.0017559480620548	0.0041423859074711	0.0060189454816281	0.0073611489497125	0.0037276619113981	0.0068190251477062	0.103939764201641
20	All right.	XXXXX	0	train	9	0	0	0.2140743136405944	0.4783924520015716	0.0362409353256225	0.0156813077628612	0.0679448992013931	0.0248301606625318	0.0065233213827013	0.0436091385781765	0.0331101790070533	0.0260629151016473	0.0082189636304974	0.0115052247419953	0.0338062047958374
21	Can you do push-ups?	OOOOO	1	train	0	0	0	0.0013414631830528	0.0063892216421663	0.0037112492136657	0.0025716135278344	0.0629035085439682	0.0037669045850634	0.0021273694001138	0.016237374395132	0.8651516437530518	0.0060237566940486	0.0084718307480216	0.0038914713077247	0.0174126997590065
22	Of course I can.	XXXXX	1	train	1	0	0	0.0209780186414718	0.2626463770866394	0.6821564435958862	0.0047736135311424	0.0067080212756991	0.004827560391277	0.0031739121768623	0.0014009326696395	0.0030776404310017	0.0020487001165747	0.0012924483744427	0.0035136977676302	0.0034025546628981
23	It's a piece of cake!	XXXXX	1	train	1	0	1	0.0666629001498222	0.9063692688941956	0.0027527918573468	0.0018489003414288	0.0041045788675546	0.0037267461884766	0.0014361831126734	0.003171497490257	0.0024409350007772	0.0020023977849632	0.0012768738670274	0.0014810315333306	0.0027259308844804
24	Believe it or not.	XXXXX	1	train	1	0	1	0.1483953446149826	0.4831858575344085	0.0268154554069042	0.0299324803054332	0.050033550709486	0.0524140261113643	0.0168991908431053	0.0086034890264272	0.0224526785314083	0.1293735206127166	0.0054718670435249	0.0064191664569079	0.0200033783912658
25	I can do 30 push-ups a minute.	XXXXX	1	train	1	0	1	0.0062653422355651	0.9807029962539672	0.0009442690061405	0.0005401613307185	0.0026840064674615	0.0012402720749378	0.0008575479732826	0.0009763892157934	0.0014668104704469	0.0012937601422891	0.0005122088477946	0.0005955060478299	0.0019206496654078
26	Really?	OOOOO	1	train	2	0	0	0.0341750122606754	0.0205343347042799	0.0070037692785263	0.0143662467598915	0.0151171125471591	0.1947283148765564	0.0068498253822326	0.0500501208007335	0.1084412857890129	0.4875581264495849	0.0113296182826161	0.0280982255935668	0.0217480026185512
27	I think that's impossible!	OOOOO	1	train	2	1	1	0.8704127669334412	0.0130579955875873	0.0175210647284984	0.008161099627614	0.0065645608119666	0.0521218888461589	0.0029734305571764	0.0037113425787538	0.0040276828221976	0.0061343032866716	0.0028824259061366	0.0080917421728372	0.0043396274559199
28	You mean 30 push-ups?	XXXXX	1	train	3	0	0	0.0278426073491573	0.86287921667099	0.0060997069813311	0.0030326645355671	0.0171806327998638	0.0054436288774013	0.0026193875819444	0.0179268587380647	0.0253075379878282	0.0165866371244192	0.0025295375380665	0.0027780740056186	0.009773482568562
29	Yeah!	OOOOO	1	train	4	0	0	0.0013130058068782	0.0031342294532805	0.9856889247894288	0.0010836194269359	0.0021067368797957	0.0012212368892505	0.0006998925236985	0.0004392548871692	0.0008140165591612	0.0005426223506219	0.0004913792363367	0.0014200978912413	0.0010449079563841
30	It's easy.	XXXXX	1	train	5	0	0	0.1435974240303039	0.1137531474232673	0.0250218212604522	0.006647961679846	0.0131062092259526	0.6042195558547974	0.0078355595469474	0.0047526247799396	0.0094596045091748	0.0237201042473316	0.0023008002899587	0.0338662825524807	0.0117190089076757
31	If you do exercise everyday, you can make it, too.	XXXXX	1	train	5	1	1	0.1455201506614685	0.7995383143424988	0.0088324211537837	0.0016633220948278	0.0057404669933021	0.0171961691230535	0.001743764267303	0.0025038106832653	0.0032231381628662	0.0037624272517859	0.0012269158614799	0.004388109780848	0.0046610464341938
32	Can you study with the radio on?	OOOOO	2	train	0	0	0	0.0017261063912883	0.012482414022088	0.0045856605283916	0.0031781836878508	0.1050370708107948	0.0046623512171208	0.002798936329782	0.0143504180014133	0.8000978827476501	0.0083847809582948	0.0083033964037895	0.0051434603519737	0.0292493067681789
33	No.	XXXXX	2	train	1	0	0	0.0011997382389381	0.0007302112062461	0.0018186243250966	0.9781072735786438	0.0007130102021619	0.0007508700946345	0.0032231858931481	0.0011808343697339	0.0010213190689682	0.0088036749511957	0.0008280167239718	0.000567875104025	0.0010553795145824
34	I listen to background music.	XXXXX	2	train	1	0	1	0.018420785665512	0.9545316100120544	0.0019085276871919	0.0018606843659654	0.0059474650770425	0.0012132045812904	0.0018701006192713	0.0019215357024222	0.0019174352055415	0.0024579816963523	0.0010104001266881	0.000928521156311	0.0060117696411907
35	What is the difference?	OOOOO	2	train	2	0	0	0.0115322927013039	0.0052078287117183	0.0014600527938455	0.0032640022691339	0.0040680146776139	0.0025804368779063	0.0043722190894186	0.9019486904144288	0.0041970759630203	0.0082050086930394	0.0464518070220947	0.003016471164301	0.0036961906589567
36	The radio has too many comerials.	XXXXX	2	train	3	0	0	0.223327949643135	0.6899317502975464	0.0049094171263277	0.0104006929323077	0.0138286333531141	0.0047580930404365	0.00528668705374	0.0090565048158168	0.0054136142134666	0.017798637971282	0.0028071841225028	0.0018939207075163	0.0105869695544242
37	That's true.	OOOOO	2	train	4	0	0	0.0334767922759056	0.0057012503966689	0.0328968726098537	0.0033440759871155	0.0036806613206863	0.84540855884552	0.0071938713081181	0.0025324632879346	0.0053357700817286	0.0104006910696625	0.0023893602192401	0.0422888919711113	0.0053506135009229
38	but then you have to buy a record player.	OOOOO	2	train	4	0	1	0.053721260279417	0.9250558614730836	0.0025363403838127	0.0012957411818206	0.0050769471563398	0.0022729528136551	0.0012803717982023	0.0015482744202017	0.001347211189568	0.0018540803575888	0.0008260117028839	0.0009061290184035	0.0022788594942539
39	Are you all right?	OOOOO	3	train	0	0	0	0.0014729039976373	0.0032984719146043	0.0026914770714938	0.0023906372953206	0.0092697273939847	0.0060329823754727	0.0019189974991604	0.0198118779808282	0.9261528253555298	0.0066457302309572	0.0072250431403517	0.0036559572909027	0.0094333486631512
40	I will be all right soon.	XXXXX	3	train	1	0	0	0.156692773103714	0.7932634353637695	0.0163256395608186	0.0034161643125116	0.0068736914545297	0.0037682559341192	0.001976054161787	0.0036895046941936	0.0068346806801855	0.001789505011402	0.0013085781829431	0.0013981088995933	0.0026635336689651
41	I was terrified when I watched them fall from the wire.	XXXXX	3	train	1	1	1	0.816198468208313	0.1327530592679977	0.0042230212129652	0.0037559254560619	0.0060469573363661	0.0176226776093244	0.0014017043868079	0.0034352734219282	0.0026397104375064	0.0048478306271135	0.0017930185422301	0.0033152662217617	0.0019671290647238
42	Don't worry.	OOOOO	3	train	2	0	0	0.2271686047315597	0.4012902379035949	0.010807454586029	0.0232692249119281	0.0574501976370811	0.0351355411112308	0.0080512091517448	0.0123232025653123	0.0155333541333675	0.0924396738409996	0.0071053267456591	0.0118876388296484	0.0975383520126342
43	I see.	XXXXX	3	train	3	0	0	0.0450975187122821	0.91583651304245	0.0087857227772474	0.0013914420269429	0.0081321513280272	0.0052008056081831	0.0017014625482261	0.0026287143118679	0.0022990389261394	0.0029010446742177	0.0009988974779844	0.0018727864371612	0.0031538058537989
44	Hey John.	OOOOO	4	train	0	0	0	0.0173459313809871	0.9560692310333252	0.0019080698257312	0.0007975000771693	0.008241482079029	0.0020173683296889	0.0008731698617339	0.0012019746936857	0.0018528104992583	0.0042504034936428	0.0005874569760635	0.0009969867533072	0.0038576119113713
45	nice skates.	OOOOO	4	train	0	0	1	0.8018187284469604	0.029042923822999	0.0125501686707139	0.0063319145701825	0.0144280567765235	0.0596170537173748	0.002603649161756	0.0126124415546655	0.0083947014063596	0.0095489043742418	0.0058108624070882	0.0270052682608366	0.010235303081572
46	Are they new?	OOOOO	4	train	0	0	1	0.00242221634835	0.0044370051473379	0.0022702326532453	0.0026617476250976	0.0079263774678111	0.0052354293875396	0.0021422486752271	0.0416735634207725	0.9042147397994996	0.0055886823683977	0.0098731378093361	0.0033640246838331	0.0081906821578741
47	Yeah.	XXXXX	4	train	1	0	0	0.0007213318021968	0.0018977830186486	0.9895841479301452	0.0009763612179085	0.0011360730277374	0.0010847522644326	0.0009032070520333	0.0003275444323662	0.0006154706934466	0.0003785375447478	0.0004157306684646	0.0012538131559267	0.0007051478605717
48	I just got them.	XXXXX	4	train	1	0	1	0.0138128632679581	0.974741280078888	0.0011093625798821	0.0005355243338271	0.0026025555562227	0.0012414291268214	0.0007401288021355	0.0009065243066288	0.0009051175438798	0.0010232761269435	0.0005216331337578	0.0005313287256285	0.0013289705384522
49	I started playing ice hockey in a community league.	XXXXX	4	train	1	0	1	0.0190450716763734	0.9623383283615112	0.0013449703110381	0.0006874239188618	0.0058868955820798	0.0013682855060324	0.0009904220933094	0.0013792683603242	0.0015285370172932	0.0014249162049964	0.000795125903096	0.0007959149079397	0.0024148472584784
50	So I finally got myself new skates.	XXXXX	4	train	1	0	1	0.0159481763839721	0.9693337082862854	0.0012726694112643	0.0005495004588738	0.0035600990522652	0.0014976273523643	0.0009132445557042	0.0009998637251555	0.0012632947182282	0.0011471307370811	0.0006379708065651	0.0007968852878548	0.0020798416808247
51	What position do you play?	OOOOO	4	train	2	0	0	0.0113071333616971	0.0087938737124204	0.0019127356354147	0.0036743583623319	0.0064157401211559	0.0024220356717705	0.0028112297877669	0.9131311178207396	0.0068996986374258	0.0081025287508964	0.0269059184938669	0.0026440268848091	0.0049796882085502
52	IвЂ™m a defender.	XXXXX	4	train	3	0	0	0.0167765095829963	0.9717298746109008	0.0008797574555501	0.0006360652623698	0.0022626933641731	0.0012437256518751	0.0007991329184733	0.0010701477294787	0.0008633068646304	0.0011745889205485	0.0005311739514581	0.0005834478070028	0.0014494764618575
53	ItвЂ™s a lot of fun.	XXXXX	4	train	3	1	1	0.6051204204559326	0.027070490643382	0.0124369133263826	0.0046921740286052	0.0079846568405628	0.2717226445674896	0.0027691866271197	0.0038985500577837	0.0048109870404005	0.0079478863626718	0.0035114903002977	0.0406898446381092	0.0073447208851575
54	You donвЂ™t have to be able to skate as fast on defense.	XXXXX	4	train	3	2	1	0.5880337357521057	0.3697532117366791	0.0039693787693977	0.0024475562386214	0.0077426857315003	0.0101912971585989	0.0019808348733931	0.0023756215814501	0.0022401851601898	0.0026833480224013	0.0017467474099248	0.0035870745778083	0.0032483334653079
55	Yeah.	OOOOO	4	train	4	0	0	0.0024570000823587	0.0065462542697787	0.9789153933525084	0.0010484689846634	0.0027736539486795	0.001741588814184	0.0011680438183248	0.000515425519552	0.0008590113720856	0.0005960645503364	0.0005532425129786	0.0016474844887852	0.0011783313238993
56	youвЂ™re a pretty big guy.	OOOOO	4	train	4	0	1	0.096575953066349	0.0162614993751049	0.0158648081123828	0.0112159810960292	0.0089529287070035	0.5437416434288025	0.0047296015545725	0.0323386713862419	0.0329033024609088	0.0627589747309684	0.0113098695874214	0.1409008949995041	0.0224459487944841
57	I play goalie myself.	OOOOO	4	train	4	0	1	0.0156848262995481	0.9714428186416626	0.0011981732677668	0.0005571136716753	0.0024797730147838	0.0015475658001378	0.0008280261536128	0.0008461050456389	0.001040713628754	0.0012879543937742	0.0005151061341166	0.0007644356228411	0.001807429594919
58	Oh, yeah?	XXXXX	4	train	5	0	0	0.0325009264051914	0.4892123341560364	0.3020346164703369	0.0057935612276196	0.0395491458475589	0.011348002590239	0.0104349860921502	0.011565588414669	0.037520594894886	0.0250036157667636	0.0060294480063021	0.0088790766894817	0.0201281104236841
59	Which team?	XXXXX	4	train	5	1	1	0.0256621595472097	0.0089900102466344	0.002405596897006	0.0041683302260935	0.0105279572308063	0.0023399097844958	0.0061453590169548	0.7890274524688721	0.0065925209783017	0.0077357292175292	0.1266376972198486	0.0039010532200336	0.0058660903014242
60	The Rockets.	OOOOO	4	train	6	0	0	0.7621437907218933	0.2149861007928848	0.0020420497749	0.0017640483565628	0.0056410254910588	0.0017572740325704	0.0020804854575544	0.0025612381286919	0.0008693091804161	0.0019749377388507	0.0014104568399488	0.0008991156937554	0.0018701553344726
61	Really?	XXXXX	4	train	7	0	0	0.0352586470544338	0.0219209715723991	0.0070386342704296	0.0132669135928154	0.0166410412639379	0.2126116901636123	0.0080127054825425	0.059970736503601	0.143004760146141	0.4194779694080353	0.0138807892799377	0.028052769601345	0.0208624061197042
62	I think we play you guys next week.	XXXXX	4	train	7	1	1	0.8243530988693237	0.1191837862133979	0.0028653345070779	0.0023457924835383	0.027300126850605	0.0019767771009355	0.0016743147280067	0.0059216902591288	0.0034868305083364	0.0017628847854211	0.0038897609338164	0.0012368697207421	0.0040027522481977
63	Well, I have to go to practice.	XXXXX	4	train	7	2	1	0.0080531267449259	0.9787536859512328	0.0006365907611325	0.0005040304386056	0.0032923643011599	0.0012479731813073	0.0011101969284936	0.0007558689103461	0.0011253096163272	0.0012872811639681	0.0005568736814893	0.0006203966913744	0.002056406578049
64	See you later.	XXXXX	4	train	7	3	1	0.3014945089817047	0.2644738852977752	0.0142170842736959	0.0111005697399377	0.2361651808023452	0.0101706441491842	0.0039452449418604	0.0376589000225067	0.0225628670305013	0.0160301253199577	0.0153539162129163	0.0094833169132471	0.0573437288403511
65	All right, see you later.	OOOOO	4	train	8	0	0	0.2722350060939789	0.3725166618824005	0.063807912170887	0.0173357389867305	0.1714371293783188	0.0100448643788695	0.0042919558472931	0.0150186922401189	0.0164476353675127	0.0145604545250535	0.0080421054735779	0.0064460164867341	0.0278158951550722
66	Hey Lydia.	OOOOO	5	train	0	0	0	0.0134170725941658	0.9619837403297424	0.001706100301817	0.0008893085760064	0.0053907819092273	0.002778131281957	0.0009465964394621	0.0011714688735082	0.0018711379962041	0.0047421194612979	0.0005724857910536	0.0010037487372756	0.003527354216203
67	what are you reading?	OOOOO	5	train	0	0	1	0.0129444366320967	0.0109012806788086	0.0037633744068443	0.0183387827128171	0.0115443607792258	0.0053916154429316	0.0062737595289945	0.7749213576316833	0.0143726235255599	0.1097115278244018	0.016408234834671	0.0034938966855406	0.0119347469881176
68	IвЂ™m looking at my horoscope for this month!	XXXXX	5	train	1	0	0	0.0108375623822212	0.9780539274215698	0.0006623130175285	0.0007977045024745	0.0021254122257232	0.0013398258015513	0.0009053156245499	0.0008270848775282	0.000675372488331	0.001493246643804	0.0004514913889579	0.0004857270687352	0.0013451145496219
69	My outlook is very positive.	XXXXX	5	train	1	1	1	0.6281493306159973	0.2986122965812683	0.0047458899207413	0.0051136841066181	0.0076102358289062	0.025936996564269	0.0017306796507909	0.006785575300455	0.0035462558735162	0.0056134248152375	0.0029864446260035	0.0057638646103441	0.003405342111364
70	It says that I should take a vacation to someplace exotic, and that I will have a passionate summer fling!	XXXXX	5	train	1	2	1	0.1259656250476837	0.8540131449699402	0.0013596871867775	0.0013314621755853	0.004201010800898	0.0027570151723921	0.0010740205179899	0.0017602794105187	0.0011208433425053	0.0019824996124953	0.0010058898478746	0.0012258461210876	0.0022026260849088
71	What are you talking about?	OOOOO	5	train	2	0	0	0.0045004272833466	0.0041188481263816	0.0020800763741135	0.0208225715905427	0.0078125745058059	0.0102686621248722	0.0068273660726845	0.067716933786869	0.0115859564393758	0.8372318744659424	0.0103609859943389	0.0049636047333478	0.0117101091891527
72	Let me see that... What are horoscopes?	OOOOO	5	train	2	1	1	0.0115498835220932	0.0160575583577156	0.0025038786698132	0.0024934844113886	0.0477287396788597	0.0033370410092175	0.0038602447602897	0.7354791164398193	0.0123433964326977	0.014420605264604	0.1262822896242141	0.0084283659234642	0.0155152939260005
73	ItвЂ™s a prediction of your month, based on your zodiac sign.	XXXXX	5	train	3	0	0	0.0128291537985205	0.9735852479934692	0.0006020965520292	0.0006078579463064	0.0029485714621841	0.0011701547773554	0.0010105617111548	0.0013542961096391	0.0008497942471876	0.0014795013703405	0.0007036281749606	0.0006757459486834	0.0021834138315171
74	You have a different sign for the month and date you were born in.	XXXXX	5	train	3	1	1	0.0070371767506003	0.97429096698761	0.0009075008565559	0.0011794795282185	0.0036136140115559	0.0012801175471395	0.0012843603035435	0.0018764283740893	0.0012841501738876	0.0024759687948971	0.00073497754056	0.0007029315456748	0.0033323701936751
75	I was born on April 15th, so IвЂ™m an Aries.	XXXXX	5	train	3	2	1	0.4168617129325866	0.5594507455825806	0.0027474765665829	0.0016143233515322	0.0050954236648976	0.0022731407079845	0.0015909789362922	0.0027630396652966	0.0012532243272289	0.0015476404223591	0.0018349289894104	0.001060401671566	0.0019069199915975
76	When were you born?	XXXXX	5	train	3	3	1	0.0064808633178472	0.0051698042079806	0.001565228914842	0.0025718011893332	0.0039236946031451	0.0019174934132024	0.0023173599038273	0.9250762462615968	0.0065130237489938	0.0062159616500139	0.032284528017044	0.0024571162648499	0.0035068625584244
77	January 5th.	OOOOO	5	train	4	0	0	0.0238247979432344	0.9632449150085448	0.0010636589722707	0.0008257499430328	0.0024007388856261	0.0013446320081129	0.0011659153969958	0.0013262287247925	0.0007454095175489	0.0014780560741201	0.0006471824599429	0.0005806854460388	0.001351986429654
78	LetвЂ™s see... youвЂ™re a Capricorn.	XXXXX	5	train	5	0	0	0.0070268018171191	0.9653316140174866	0.0010715804528445	0.0007189188618212	0.0053103491663932	0.0036380537785589	0.0013343851314857	0.0017023781547322	0.0016642743721604	0.0045738094486296	0.0010955149773508	0.0020618438720703	0.0044704512692987
79	It says that you will be feeling stress at work, but you could see new, exciting developments in your love life.	XXXXX	5	train	5	1	1	0.1290499120950698	0.8508660793304443	0.0011786175891757	0.000999508309178	0.0039820419624447	0.0036650372203439	0.0010979362996295	0.0016973689198493	0.0012386799789965	0.0017408576095476	0.0010920289205387	0.0012626759707927	0.0021293095778673
80	Looks like weвЂ™ll both have interesting summers!	XXXXX	5	train	5	2	1	0.850987434387207	0.0287968553602695	0.0087264012545347	0.0044072438031435	0.0105501702055335	0.0501099117100238	0.0024951917584985	0.0067521785385906	0.0047329724766314	0.0046961065381765	0.0038219240959733	0.0155350035056471	0.0083885453641414
81	ThatвЂ™s bogus.	OOOOO	5	train	6	0	0	0.06400016695261	0.0059322942979633	0.0115695754066109	0.016503358259797	0.00898068677634	0.7470353841781616	0.0108900303021073	0.0096599636599421	0.0086551522836089	0.0704065114259719	0.0047096665948629	0.0297320075333118	0.0119251934811472
82	I don't feel any stress at work, and my love life is practically nonexistent.	OOOOO	5	train	6	1	1	0.3975722193717956	0.5656359791755676	0.0029390093404799	0.0032518685329705	0.0071070226840674	0.0066259964369237	0.0019159694202244	0.0032886241097003	0.0021445543970912	0.003099501831457	0.0018390588229522	0.0019175278721377	0.002662670565769
83	This zodiac stuff is all a bunch of nonsense.	OOOOO	5	train	6	2	1	0.2371484041213989	0.0607566572725772	0.0176044683903455	0.1078887209296226	0.0469032041728496	0.0684278234839439	0.0196458362042903	0.0409625209867954	0.0259306337684392	0.3111743032932281	0.0115627506747841	0.009938140399754	0.0420564450323581
84	No, itвЂ™s not, your astrology sign can tell you a lot about your personality.	XXXXX	5	train	7	0	0	0.0499542504549026	0.9095215201377868	0.0028952341526746	0.0047678970731794	0.0053630587644875	0.0063249641098082	0.0021952572278678	0.0026234379038214	0.0022097977343946	0.0077025950886309	0.0010328183416277	0.0016815504059195	0.0037276241928339
85	See?	XXXXX	5	train	7	1	1	0.0064758593216538	0.0606408827006816	0.0992937013506889	0.0136666586622595	0.4004072248935699	0.0165863446891307	0.0040893191471695	0.0114724710583686	0.0687136352062225	0.1209963411092758	0.0101469801738858	0.0199083369225263	0.1676022261381149
86	It says that an Aries is energetic and loves to socialize.	XXXXX	5	train	7	2	1	0.0101556833833456	0.9777469038963318	0.000870561634656	0.0006981456535868	0.0016909504774957	0.0026163239963352	0.0007574332994408	0.0006336430669762	0.0007496791076846	0.0018256248440593	0.000371624919353	0.0007195175858214	0.0011638968717306
87	Well, you certainly match those criteria, but theyвЂ™re so broad they could apply to anyone.	OOOOO	5	train	8	0	0	0.3400905430316925	0.6212669014930725	0.0030897432006895	0.0026637474074959	0.0047026704996824	0.0107298968359828	0.0032690279185771	0.0020503555424511	0.0017105292063206	0.0046625910326838	0.0013457131572067	0.0018183238571509	0.0025999557692557
88	What does it say about me?	OOOOO	5	train	8	1	1	0.0066068856976926	0.0036202422343194	0.0015559823950752	0.0027380613610148	0.0046083885245025	0.0017447377322241	0.003460724139586	0.8495777249336243	0.0060138716362416	0.0052703525871038	0.1077897176146507	0.0032768852543085	0.0037364256568253
89	A Capricorn is serious-minded and practical.	XXXXX	5	train	9	0	0	0.9328180551528932	0.0337605737149715	0.0025709853507578	0.001410913420841	0.0033835114445537	0.0131370648741722	0.0008310160483233	0.0022066149394959	0.001836386276409	0.0021947098430246	0.0013331554364413	0.002850471297279	0.0016665579751133
90	She likes to do things in conventional ways.	XXXXX	5	train	9	1	1	0.1826402842998504	0.7907087802886963	0.0018682013032957	0.000730100669898	0.005127940326929	0.0051547600887715	0.0019127972191199	0.0012784120626747	0.0018768747104331	0.0020598324481397	0.0012803784338757	0.0023086329456418	0.0030530635267496
91	That sounds just like you!	XXXXX	5	train	9	2	1	0.3183768093585968	0.011019792407751	0.0116890864446759	0.0061641847714781	0.0081621231511235	0.5067092776298523	0.003728533629328	0.0077366684563457	0.0097515918314456	0.0177868418395519	0.0064184269867837	0.0812078490853309	0.0112487562000751
92	FrankвЂ™s getting married.	OOOOO	6	train	0	0	0	0.0141770783811807	0.9707887768745422	0.0011442602844908	0.000897474004887	0.0030058061238378	0.0022462040651589	0.0009395070374011	0.0010215729707852	0.001184744760394	0.0019760311115533	0.0004871184937655	0.0006123192142695	0.0015191577840596
93	do you believe this?	OOOOO	6	train	0	0	1	0.0014220880111679	0.0032235363032668	0.0046760151162743	0.0027877304237335	0.0330471694469451	0.0060518970713019	0.0032257735729217	0.0089341457933187	0.897589921951294	0.0076826894655823	0.0093069924041628	0.0046374541707336	0.0174145027995109
